title;tome;serie;read;author;editor;isbn;release_date;cover_url;created_at\n
Le califat de Stockholm;1;12 septembre;true;Seiter, Gabrielli;Glénat;272348047X;2011-09-07 00:00:00 UTC;;2014-04-22 05:06:17 UTC
L'échange;1;Alpha;true;Jigounov, Renard;Lombard;2803614324;1999-03-03 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Clan Bogdanov;2;Alpha;true;Jigounov, Renard;Lombard;2803614316;1999-03-03 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Le salaire des loups;3;Alpha;true;Jigounov, Mythic;Lombard;2803614308;1999-03-03 00:00:00 UTC;;2014-04-22 05:06:17 UTC
La liste;4;Alpha;true;Jigounov, Mythic;Lombard;2810506221;2014-02-27 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Sanctions;5;Alpha;true;Jigounov, Mythic;Lombard;2803614863;2000-09-30 00:00:00 UTC;;2014-04-22 05:06:17 UTC
L'émissaire;6;Alpha;true;Jigounov, Mythic;Lombard;2803616394;2002-04-15 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Snow White, 30 secondes!;7;Alpha;true;Jigounov, Mythic;Lombard;2803618354;2003-10-25 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Jeux de puissants;8;Alpha;true;Jigounov, Mythic;Lombard;2803620367;2004-11-01 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Scala;9;Alpha;true;Jigounov, Mythic;Lombard;2803620944;2006-09-01 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Mensonges;10;Alpha;true;Jigounov, Mythic;Lombard;2803622491;2007-05-10 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Fuckin Patriot;11;Alpha;true;Jigounov;Lombard;2803624567;2009-09-10 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Petit tour avec Malcom;12;Alpha;true;Jigounov;Lombard;2803627493;2013-08-29 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Baptême de feu;1;Alpha - premières armes;true;Loutte, Herzet;Lombard;2803626268;;;2014-04-22 05:06:17 UTC
@enfer.zcom;1;Alvin norge;true;Chris Lamquet;Lombard;B00IPCAXAC;2010-03-26 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Morphing amer;2;Alvin norge;true;Chris Lamquet;Lombard;2803616246;2003-09-06 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Lucyber;3;Alvin norge;true;Chris Lamquet;Lombard;2803617722;2003-09-06 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Shangaï hypothese;4;Alvin norge;true;Chris Lamquet;Lombard;2803618907;2003-09-08 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Quantum;5;Alvin norge;true;Chris Lamquet;Lombard;2803619989;2005-04-01 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Fuckin'day;1;Angeline;true;Blondieau, Summer, Goethals, Astier;Soleil;2849465070;2006-05-18 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Mississippi Queen;2;Angeline;true;Blondieau, Summer, Fino, Arilla;Soleil;284946290X;2005-10-01 00:00:00 UTC;;2014-04-22 05:06:17 UTC
White christmas;3;Angeline;true;Blondieau, Summer, Fino;Soleil;2849464546;2006-05-18 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Memphis, Tennessee;4;Angeline;true;Blondieau, Summer, Fino;Soleil;284946726X;2007-02-14 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Dix mille ans sous les glaces;1;Arctica;true;Pecqueur, Kovacevic, Schelle;Delcourt;2756000442;;;2014-04-22 05:06:17 UTC
Mystère sous la mer;2;Arctica;true;Pecqueur, Kovacevic, Schelle;Delcourt;2756011223;2008-09-10 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Le passager de la préhistoire;3;Arctica;true;Pecqueur, Kovacevic, Schelle;Delcourt;2756016926;2009-11-18 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Révélations;4;Arctica;true;Pecqueur, Kovacevic, Schelle;Delcourt;2756020729;2010-12-01 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Destination terre;5;Arctica;true;Pecqueur, Kovacevic, Schelle;Delcourt;2756026913;2013-02-20 00:00:00 UTC;;2014-04-22 05:06:17 UTC
Desmond;1;Assassin's creed;true;Corbeyran, Defali;Les deux royaumes;2918771007;2009-11-11 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Niveau 1 : tome 1;1;Back world;true;Corbeyran, Rollin;Glénat;272345214X;2007-08-22 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Niveau 2 : tome 2;2;Back world;true;Corbeyran, Rollin;Glénat;2723460711;2008-10-01 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Niveau 3 : tome 3;3;Back world;true;Corbeyran, Rollin;Glénat;2723465985;;;2014-04-22 05:06:18 UTC
Saison 1 : tome 1;1;Black Op;true;Desberg, Labiano;Dargaud;2205054910;;;2014-04-22 05:06:18 UTC
Saison 1 : tome 2;2;Black Op;true;Desberg, Labiano;Dargaud;2205056875;2006-02-17 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Saison 1 : Tome 3;3;Black Op;true;Desberg, Labiano;Dargaud;2205058789;2007-03-15 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Saison 1 : Tome 4;4;Black Op;true;Desberg, Labiano;Dargaud;2205060252;2008-04-04 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Saison 1 : Tome 5;5;Black Op;true;Desberg, Labiano;Dargaud;2205062123;2009-04-03 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Saison 1 : Tome 6;6;Black Op;true;Desberg, Labiano;Dargaud;2205063200;2010-01-21 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Saison 2 : tome 7;7;Black Op;true;Desberg, Labiano;Dargaud;2205071750;2014-01-23 00:00:00 UTC;;2014-04-22 05:06:18 UTC
L'enfer, le silence;4;Blacksad;true;Diaz Canales, Guarnido;Dargaud;2205063138;2010-09-16 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Le premier assassin;1;Cassio;true;Desberg, Reculé;Lombard;2803624230;;;2014-04-22 05:06:18 UTC
Le deuxième coup;2;Cassio;true;Desberg, Reculé;Lombard;2803624044;2009-03-06 00:00:00 UTC;;2014-04-22 05:06:18 UTC
La troisième plaie;3;Cassio;true;Desberg, Reculé;Lombard;2803625679;;;2014-04-22 05:06:18 UTC
Le dernier sang;4;Cassio;true;Desberg, Reculé;Lombard;2803626292;2010-04-01 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Le chemin de rome;5;Cassio;true;Desberg, Reculé;Lombard;2803629836;2012-04-13 00:00:00 UTC;;2014-04-22 05:06:18 UTC
L'appel de la souffrance;6;Cassio;true;Desberg, Reculé;Lombard;2803630540;2012-06-15 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Le réveil d'une déesse;7;Cassio;true;Desberg, Reculé;Lombard;280363208X;2013-05-24 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Tome 1;1;De sang froid;true;Mariolle, Duarte, Miki;Grand angle;2915309299;2004-07-01 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Lili;1;District 77;true;Denys, Dugand;Lombard;2803621908;2006-10-19 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Furiani vendetta;2;District 77;true;Denys, Dugand;Lombard;2803623072;2008-02-01 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Big-boss requiem;3;District 77;true;Denys, Dugand;Lombard;2803625059;2009-02-20 00:00:00 UTC;;2014-04-22 05:06:18 UTC
La favorite;1;Djinn;true;Dufaux, Miralles;Dargaud;2871293465;2004-10-16 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Les 30 clochettes;2;Djinn;true;Dufaux, Miralles;Dargaud;2871294518;;;2014-04-22 05:06:18 UTC
Le tatouage;3;Djinn;true;Dufaux, Miralles;Dargaud;2871295425;2004-07-15 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Le trésor;4;Djinn;true;Dufaux, Miralles;Dargaud;287129674X;2004-10-16 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Africa;5;Djinn;true;Dufaux, Miralles;Dargaud;8498146097;2006-03-24 00:00:00 UTC;;2014-04-22 05:06:18 UTC
La perle noire;6;Djinn;true;Dufaux, Miralles;Dargaud;2505000174;2006-11-01 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Pipiktu;7;Djinn;true;Dufaux, Miralles;Dargaud;8498477301;2008-08-29 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Fièvres;8;Djinn;true;Dufaux, Miralles;Dargaud;2505004633;2008-11-21 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Le roi gorille;9;Djinn;true;Dufaux, Miralles;Dargaud;250500580X;2009-06-11 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Le pavillon des plaisirs;10;Djinn;true;Dufaux, Miralles;Dargaud;2505009724;2010-11-11 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Une eternelle jeunesse;11;Djinn;true;Dufaux, Miralles;Dargaud;2505011486;;;2014-04-22 05:06:18 UTC
Le tentateur;1;Enchaînés;true;Callede, Gihef;Vents d'ouest;2749305888;2010-10-06 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Le corrupteur;2;Enchaînés;true;Callede, Gihef;Vents d'ouest;2749305896;2010-10-06 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Energy business;1;Egide;true;Weytens, Rodier;Impact;2756004472;2008-02-27 00:00:00 UTC;;2014-04-22 05:06:18 UTC
African power;2;Egide;true;Weytens, Morrissette;Impact;2756006017;2008-03-13 00:00:00 UTC;;2014-04-22 05:06:18 UTC
La passagère du capricorne;1;El nino;true;Perrissin, Pavlovic;Les humanoÏdes associés;2731618752;2006-06-07 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Rio Guyas;2;El nino;true;Perrissin, Pavlovic;Les humanoÏdes associés;2731662522;2003-06-25 00:00:00 UTC;;2014-04-22 05:06:18 UTC
L'archipel des Badjos;3;El nino;true;Perrissin, Pavlovic;Les humanoÏdes associés;2731663502;;;2014-04-22 05:06:18 UTC
Les oubliées de Kra;4;El nino;true;Perrissin, Pavlovic;Les humanoÏdes associés;2731616652;2005-09-01 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Le paria de Célèbes;5;El nino;true;Perrissin, Pavlovic;Les humanoÏdes associés;2731616660;;;2014-04-22 05:06:18 UTC
Lady Crown;1;Ellis group;true;Latour, Griffo;Lombard;2803621932;2006-10-19 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Sax;2;Ellis group;true;Latour, Griffo;Lombard;2803622882;2008-02-15 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Sandmen;3;Ellis group;true;Latour, Griffo;Lombard;2803625040;2009-02-20 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Tome 1;1;L'étoile du désert;true;Marini, Desberg;Dargaud;2505008221;2010-11-25 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Tome 2;2;L'étoile du désert;true;Marini, Desberg;Dargaud;2505015929;2012-05-04 00:00:00 UTC;;2014-04-22 05:06:18 UTC
L'étoile du gitan;1;Gipsy;true;Marini, Smolderen;Dargaud;2882570333;1996-06-07 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Les feux de Sibérie;2;Gipsy;true;Marini, Smolderen;Dargaud;2882570341;1996-06-07 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Le jour du tsar;3;Gipsy;true;Marini, Smolderen;Dargaud;2882570465;1999-09-06 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Les yeux noirs;4;Gipsy;true;Marini, Smolderen;Dargaud;2882570384;1997-05-13 00:00:00 UTC;;2014-04-22 05:06:18 UTC
L'aile blanche;5;Gipsy;true;Marini, Smolderen;Dargaud;2882570430;1999-04-29 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Le rire Aztèque;6;Gipsy;true;Marini, Smolderen;Dargaud;2882570678;2002-05-04 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Pilleurs d'épaves;1;Golden city;true;Pecqueur, Malfin, Schelle & Rosa;Delcourt;2840552612;2004-01-01 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Banks contre Banks;2;Golden city;true;Pecqueur, Malfin, Schelle & Rosa;Delcourt;2840554291;2002-04-30 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Nuit polaire;3;Golden city;true;Pecqueur, Malfin, Schelle & Rosa;Delcourt;B004Z50LB4;2001-01-01 00:00:00 UTC;http://ecx.images-amazon.com/images/I/51YM7DHTG9L._.jpg;2014-04-22 05:06:18 UTC
Goldy;4;Golden city;true;Pecqueur, Malfin, Schelle & Rosa;Delcourt;2840556642;2002-03-18 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Le dossier Harrisson;5;Golden city;true;Pecqueur, Malfin, Schelle & Rosa;Delcourt;2840559315;2003-09-19 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Jessica;6;Golden city;true;Pecqueur, Malfin, Schelle & Rosa;Delcourt;2847893016;2005-09-07 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Les enfants perdus;7;Golden city;true;Pecqueur, Malfin, Schelle & Rosa;Delcourt;2756004901;2007-11-21 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Les naufragés des abysses;8;Golden city;true;Pecqueur, Malfin, Schelle;Delcourt;2756017337;2009-12-02 00:00:00 UTC;;2014-04-22 05:06:18 UTC
L'énigme Banks;9;Golden city;true;Pecqueur, Malfin, Schelle;Delcourt;2756025186;2011-11-23 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Orbite terrestre basse;10;Golden city;true;Pecqueur, Malfin, Schelle;Delcourt;2756037575;2013-11-20 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Daytona;1;Golden cup;true;Pecqueur, Henriet, Schelle & Rosa;Delcourt;2840558505;2003-09-19 00:00:00 UTC;;2014-04-22 05:06:18 UTC
500 mille chevaux;2;Golden cup;true;Pecqueur, Henriet, Schelle & Rosa;Delcourt;2847893008;2004-11-17 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Des loups dans la spéciale;3;Golden cup;true;Pecqueur, Henriet, Schelle;Delcourt;2756000108;2006-09-20 00:00:00 UTC;;2014-04-22 05:06:18 UTC
La fille de la toundra;4;Golden cup;true;Pecqueur, Henriet, Schelle;Delcourt;2756009636;2008-03-13 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Le baiser du dragon;5;Golden cup;true;Pecqueur, Henriet, Usagi;Delcourt;275601057X;2010-10-06 00:00:00 UTC;;2014-04-22 05:06:18 UTC
La psychanalyse de l'oubli;1;Groom lake;true;Jean Jacques Dzialowski, Hervé Richez;Grand angle;2350780473;2006-04-19 00:00:00 UTC;http://ecx.images-amazon.com/images/I/51DF2PEP1HL._.jpg;2014-04-22 05:06:18 UTC
Avalon;1;HK;true;Morvan, Herault;Glénat;2723439453;2004-05-05 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Cycle 1 vol. 2;2;HK;true;Morvan, Herault;Glénat;2723439461;2005-01-26 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Cycle 1 vol. 3;3;HK;true;Morvan, Herault;Glénat;272343947X;;;2014-04-22 05:06:18 UTC
Cycle 1 vol. 4;4;HK;true;Morvan, Herault;Glénat;2723439488;;;2014-04-22 05:06:18 UTC
L'empire de Monsieur Joseph;1;Il était une fois en France;true;Nury, Vallée;Glénat;2723455807;2010-12-01 00:00:00 UTC;;2014-04-22 05:06:18 UTC
Le vol noir des corbeaux;2;Il était une fois en France;true;Nury, Vallée;Glénat;2723461831;;;2014-04-22 05:06:18 UTC
Honneur et police;3;Il était une fois en France;true;Nury, Vallée;Glénat;2723468739;;;2014-04-22 05:06:18 UTC
Aux armes citoyens;4;Il était une fois en France;true;Nury, Vallée;Glénat;2723479145;;;2014-04-22 05:06:18 UTC
Le petit juge de Melun;5;Il était une fois en France;true;Nury, Vallée;Glénat;2723483584;;;2014-04-22 05:06:18 UTC
La terre promise;6;Il était une fois en France;true;Nury, Vallée;Glénat;2723484998;;;2014-04-22 05:06:19 UTC
Guérilla tchétchène;1;Insiders;true;Bartoll, Garreta;Dargaud;2205053728;2003-05-31 00:00:00 UTC;;2014-04-22 05:06:19 UTC
Opération offshore;2;Insiders;true;Bartoll, Garreta;Dargaud;2205057685;2005-05-20 00:00:00 UTC;;2014-04-22 05:06:19 UTC
Missiles pour Islamabad;3;Insiders;true;Bartoll, Garreta;Dargaud;2205055569;2005-05-20 00:00:00 UTC;;2014-04-22 05:06:19 UTC
Le piège Afghan;4;Insiders;true;Bartoll, Garreta;Dargaud;2205056581;2005-06-03 00:00:00 UTC;;2014-04-22 05:06:19 UTC
OPA sur le Kremlin;5;Insiders;true;Bartoll, Garreta;Dargaud;2205057618;;;2014-04-22 05:06:19 UTC
Destination goulag;6;Insiders;true;Bartoll, Garreta;Dargaud;2205059629;2007-12-06 00:00:00 UTC;;2014-04-22 05:06:19 UTC
Les dragons de Pékin;7;Insiders;true;Bartoll, Garreta;Dargaud;2205062336;2009-03-12 00:00:00 UTC;;2014-04-22 05:06:19 UTC
Le prince rouge;8;Insiders;true;Bartoll, Garreta;Dargaud;2205062816;2009-11-27 00:00:00 UTC;;2014-04-22 05:06:19 UTC
L'affaire Patrice Hellers;1;Interpol;true;Dupré, Alcante;Dupuis;280014758X;2010-09-23 00:00:00 UTC;;2014-04-22 05:06:19 UTC
La voie fiscale;1;I.R.$;true;Vrancken, Desberg;Lombard;2803613964;2000-02-18 00:00:00 UTC;;2014-04-22 05:06:19 UTC
La strategie Hagen;2;I.R.$;true;Vrancken, Desberg;Lombard;2810506124;2014-01-02 00:00:00 UTC;;2014-04-22 05:06:19 UTC
Blue Ice;3;I.R.$;true;Vrancken, Desberg;Lombard;2803627000;2010-06-25 00:00:00 UTC;;2014-04-22 05:06:19 UTC
Narcocratie;4;I.R.$;true;Vrancken, Desberg;Lombard;2803617501;2003-05-03 00:00:00 UTC;;2014-04-22 05:06:19 UTC
Silica inc.;5;I.R.$;true;Vrancken, Desberg;Lombard;B00BPZWDBI;2013-02-11 00:00:00 UTC;;2014-04-22 05:06:19 UTC
Le corrupteur;6;I.R.$;true;Vrancken, Desberg;Lombard;B00BPZTUPK;2013-02-11 00:00:00 UTC;;2014-04-22 05:06:19 UTC
Corporate America;7;I.R.$;true;Vrancken, Desberg;Lombard;2803620715;;;2014-04-22 05:06:19 UTC
La guerre noire;8;I.R.$;true;Vrancken, Desberg;Lombard;2803621533;2006-06-02 00:00:00 UTC;;2014-04-22 05:06:19 UTC
Liaisons romaines;9;I.R.$;true;Vrancken, Desberg;Lombard;2803622629;2007-05-03 00:00:00 UTC;;2014-04-22 05:06:19 UTC
La loge des assassins;10;I.R.$;true;Vrancken, Desberg;Lombard;2803627035;;;2014-04-22 05:06:19 UTC
Le chemin de Gloria;11;I.R.$;true;Vrancken, Desberg;Lombard;2803625253;;;2014-04-22 05:06:19 UTC
Au nom du président;12;I.R.$;true;Vrancken, Desberg;Lombard;2803626349;;;2014-04-22 05:06:19 UTC
L'or de yamashita;13;I.R.$;true;Vrancken, Desberg;Lombard;2803628198;;;2014-04-22 05:06:19 UTC
Les survivants de Nankin;14;I.R.$;true;Vrancken, Desberg;Lombard;2803630621;;;2014-04-22 05:06:19 UTC
Antonia;1;I.R.$ All Watcher;true;Queireix, Desberg;Lombard;2803625350;;;2014-04-22 05:06:19 UTC
La nébuleuse Roxana;2;I.R.$ All Watcher;true;Koller, Desberg;Lombard;2803626640;;;2014-04-22 05:06:19 UTC
Petra;3;I.R.$ All Watcher;true;Queireix, Desberg;Lombard;2803626241;;;2014-04-22 05:06:19 UTC
