title;tome;serie;read;author;editor;isbn;release_date;cover_url;created_at\n
La spirale Mc Parnell;4;I.R.$ All Watcher;true;Mutti, Desberg;Lombard;280362625X;2010-06-24 00:00:00 UTC;;2014-04-22 05:06:19 UTC
Mia Maï;5;I.R.$ All Watcher;true;Bourgne, Desberg;Lombard;2803627485;2010-11-04 00:00:00 UTC;;2014-04-22 05:06:19 UTC
La théorie des cordes fiscales;6;I.R.$ All Watcher;true;Desberg, Koller;Lombard;2803627949;2011-02-17 00:00:00 UTC;;2014-04-22 05:06:19 UTC
Camden rock;1;James Healer;true;Swolfs, De Vita;Lombard;2803616661;;;2014-04-22 05:06:19 UTC
La nuit du cobra;2;James Healer;true;Swolfs, De Vita;Lombard;2803618451;;;2014-04-22 05:06:19 UTC
La montagne sacrée;3;James Healer;true;Swolfs, De Vita;Lombard;2803619873;;;2014-04-22 05:06:19 UTC
La Mandragore ; Le Cénacle;1;La loi des 12 tables;true;Corbeyran, Defali, Perubros;Delcourt;2847898271;2006-02-02 00:00:00 UTC;;2014-04-22 05:06:19 UTC
L'accusation ; La nuit de Walpurgis;2;La loi des 12 tables;true;Corbeyran, Defali, Perubros;Delcourt;2756001554;;;2014-04-22 05:06:19 UTC
Récit 5 - mai : La cicatrice ; Récit 6 - juin : Magie blanche, magie noire;3;La loi des 12 tables;true;Corbeyran, Defali, Perubros;Delcourt;2756001880;;;2014-04-22 05:06:19 UTC
Récit VII - Juillet, Réminiscences , Récit VIII - août, L'Egrégore;4;La loi des 12 tables;true;Corbeyran, Defali, Perubros;Delcourt;2756002968;;;2014-04-22 05:06:19 UTC
Le masque;5;La loi des 12 tables;true;Corbeyran, Defali, Perubros;Delcourt;2756003360;;;2014-04-22 05:06:19 UTC
L'art notoire;6;La loi des 12 tables;true;Corbeyran, Defali, Perubros;Delcourt;2756003387;;;2014-04-22 05:06:19 UTC
Les portes de l'Antartique;1;Lancaster;true;Bec, Dziakowski;Glénat;2723486323;;http://ecx.images-amazon.com/images/I/51Eq%2B5dD%2B%2BL._.jpg;2014-04-22 05:06:19 UTC
Tome 1: l'impact;1;La métaphore du papillon;true;Toshy & Pernoud;Grand angle;2915309191;;;2014-04-22 05:06:19 UTC
Tome 2: chaos;2;La métaphore du papillon;true;Toshy & Pernoud;Grand angle;291530985X;;;2014-04-22 05:06:19 UTC
Tome 3: statistiquement vôtre!;3;La métaphore du papillon;true;Toshy & Pernoud;Grand angle;2350781224;;;2014-04-22 05:06:19 UTC
Mer noire;17;Largo Winch;true;Francq, Van Hamme;Dupuis;2800159618;;;2014-04-22 05:06:19 UTC
La lame et le vent;1;La voie du samouraï;true;Ron Marz, Bart Sears;Semic album;2848570385;;;2014-04-22 05:06:19 UTC
Projet Sherwood;1;L'arche;true;Felix, Malie, Rieu;Soleil;2749306361;;;2014-04-22 05:06:19 UTC
Frankestein;2;L'arche;true;Felix, Malie, Rieu;Soleil;274930637X;;;2014-04-22 05:06:19 UTC
Saison 1, tome 1 : Ombres;1;Le champ des stryges;true;Corbeyran, Guerineau, Merlet;Delcourt;2847895396;;;2014-04-22 05:06:19 UTC
Saison 1, tome 2 : Pièges;2;Le champ des stryges;true;Corbeyran, Guerineau, Merlet;Delcourt;284789540X;;;2014-04-22 05:06:19 UTC
Saison 1, tome 3 : Emprises;3;Le champ des stryges;true;Corbeyran, Guerineau, Merlet;Delcourt;2847895469;;;2014-04-22 05:06:19 UTC
Saison 1, tome 4 : Expériences;4;Le champ des stryges;true;Corbeyran, Guerineau, Merlet;Delcourt;2847895477;;;2014-04-22 05:06:19 UTC
Saison 1, tome 5 : Vestiges;5;Le champ des stryges;true;Corbeyran, Guerineau, Ruby;Delcourt;2847896139;;;2014-04-22 05:06:19 UTC
Saison 1, tome 6 : Existences;6;Le champ des stryges;true;Corbeyran, Guerineau, Ruby;Delcourt;2847896147;;;2014-04-22 05:06:19 UTC
Saison 2, tome 7 : Rencontres;7;Le champ des stryges;true;Corbeyran, Guerineau, Ruby;Delcourt;2847894845;;;2014-04-22 05:06:19 UTC
Saison 2, tome 8 : Défis;8;Le champ des stryges;true;Corbeyran, Guerineau, Ruby;Delcourt;2847894608;;;2014-04-22 05:06:19 UTC
Saison 2, tome 9 : Révélations;9;Le champ des stryges;true;Corbeyran, Guerineau, Favrelle;Delcourt;2847898328;;;2014-04-22 05:06:19 UTC
Saison 2, tome 10 : Manipulations;10;Le champ des stryges;true;Corbeyran, Guerineau, Favrelle;Delcourt;2756002682;;;2014-04-22 05:06:19 UTC
Saison 2, tome 11 : Cellules;11;Le champ des stryges;true;Corbeyran, Guerineau, Favrelle;Delcourt;2756005762;;;2014-04-22 05:06:19 UTC
Saison 2, tome 12 : Chutes;12;Le champ des stryges;true;Corbeyran, Guerineau, Hedon;Delcourt;2756011789;;;2014-04-22 05:06:19 UTC
La marque du diable;1;Le scorpion;true;Marini, Desberg;Dargaud;250501017X;;;2014-04-22 05:06:19 UTC
Le secret du pape;2;Le scorpion;true;Marini, Desberg;Dargaud;2505016755;;;2014-04-22 05:06:19 UTC
La croix de pierre;3;Le scorpion;true;Marini, Desberg;Dargaud;2871294631;;;2014-04-22 05:06:19 UTC
Le demon au Vatican;4;Le scorpion;true;Marini, Desberg;Dargaud;2871295700;;;2014-04-22 05:06:19 UTC
La vallée sacrée;5;Le scorpion;true;Marini, Desberg;Dargaud;2871296774;;;2014-04-22 05:06:19 UTC
Le trésor du temple;6;Le scorpion;true;Marini, Desberg;Dargaud;2871297606;;;2014-04-22 05:06:19 UTC
Au nom du père;7;Le scorpion;true;Marini, Desberg;Dargaud;2505000182;;;2014-04-22 05:06:19 UTC
Le procès scorpion (HS);0;Le scorpion;true;Marini, Desberg;Dargaud;2505002398;2007-10-18 00:00:00 UTC;;2014-04-22 05:06:19 UTC
L'ombre de l'ange;8;Le scorpion;true;Marini, Desberg;Dargaud;2505004749;;;2014-04-22 05:06:19 UTC
Le masque de la vérité;9;Le scorpion;true;Marini, Desberg;Dargaud;2505009147;;;2014-04-22 05:06:19 UTC
Au nom du fils;10;Le scorpion;true;Marini, Desberg;Dargaud;2505015031;;;2014-04-22 05:06:19 UTC
Livre I;1;Les aigles de rome;true;Marini;Dargaud;B00BPYX9JY;;;2014-04-22 05:06:19 UTC
Livre II;2;Les aigles de rome;true;Marini;Dargaud;2505006768;;;2014-04-22 05:06:19 UTC
Livre III;3;Les aigles de rome;true;Marini;Dargaud;2505011516;;;2014-04-22 05:06:19 UTC
Livre IV;4;Les aigles de rome;true;Marini;Dargaud;2505017972;;;2014-04-22 05:06:19 UTC
Uma;1;Les éternels;true;Yann, Meynet;Dargaud;2205053000;;;2014-04-22 05:06:19 UTC
Mira;2;Les éternels;true;Yann, Meynet;Dargaud;2205054740;;;2014-04-22 05:06:19 UTC
Le diamant d'Abraham;3;Les éternels;true;Yann, Meynet;Dargaud;2205056522;;;2014-04-22 05:06:19 UTC
Live war heroes;1;Live war heroes;true;David, Bourgier;Soleil;B005CYYY2O;;http://ecx.images-amazon.com/images/I/51LU2U1d4sL._.jpg;2014-04-22 05:06:19 UTC
D'ombres & de lumieres;1;Marshall;true;Filippi, Tello;Les humanoÎdes associés;2731661550;;;2014-04-22 05:06:19 UTC
Maître Hisaya;2;Marshall;true;Filippi, Tello;Les humanoÎdes associés;2731662727;;;2014-04-22 05:06:19 UTC
London running;1;Matt peterson;true;Bollée, Delitte;Casterman;2203057947;;;2014-04-22 05:06:19 UTC
Mauvais genre;1;Mauvais genre;true;Chloé Cruchadet;Delcourt;2756039713;;;2014-04-22 05:06:19 UTC
Le sang des anges;1;Morea;true;Arleston, Labrosse;Soleil;2302015150;;;2014-04-22 05:06:19 UTC
L'échine du dragon;2;Morea;true;Arleston, Labrosse;Soleil;2302015169;;;2014-04-22 05:06:19 UTC
Le feu du temps;3;Morea;true;Arleston, Labrosse;Soleil;2302015177;;;2014-04-22 05:06:19 UTC
Un parfum d'éternité;4;Morea;true;Arleston, Latil, Labrosse;Soleil;2302015185;;;2014-04-22 05:06:19 UTC
Denver;1;Nova Genesis;true;Boissiere, Chabbert;Glénat;2723441024;;;2014-04-22 05:06:20 UTC
Grand canyon;2;Nova Genesis;true;Boissiere, Chabbert;Glénat;2723445011;;;2014-04-22 05:06:20 UTC
Libre espace;3;Nova Genesis;true;Boissiere, Chabbert;Glénat;2723449076;;;2014-04-22 05:06:20 UTC
Le cycle de l'eau;1;Okko;true;Hub;Delcourt;2847891641;;;2014-04-22 05:06:20 UTC
Le cycle de l'eau 2;2;Okko;true;Hub;Delcourt;2756000590;;;2014-04-22 05:06:20 UTC
Le cycle de la terre;3;Okko;true;Hub;Delcourt;2756003204;;;2014-04-22 05:06:20 UTC
Le cycle de la terre 2;4;Okko;true;Hub;Delcourt;2756008672;;;2014-04-22 05:06:20 UTC
Le cycle de l'air 1;5;Okko;true;Hub;Delcourt;2756015857;;;2014-04-22 05:06:20 UTC
Le cycle de l'air 2;6;Okko;true;Hub;Delcourt;2756019860;;;2014-04-22 05:06:20 UTC
Le cycle du feu 1;7;Okko;true;Hub;Delcourt;2756024368;2011-10-12 00:00:00 UTC;;2014-04-22 05:06:20 UTC
Le cycle du feu 2;8;Okko;true;Hub;Delcourt;2756024376;;;2014-04-22 05:06:20 UTC
L'orgueil;1;Pandora box;true;Pagot, Alcante;Dupuis;2800136278;;;2014-04-22 05:06:20 UTC
La paresse;2;Pandora box;true;Radovanovic, Alcante;Dupuis;2800136286;;;2014-04-22 05:06:20 UTC
La gourmandise;3;Pandora box;true;Dupré, Alcante;Dupuis;2800136308;;;2014-04-22 05:06:20 UTC
La luxure;4;Pandora box;true;Pignault, Alcante;Dupuis;2800136294;;;2014-04-22 05:06:20 UTC
L'avarice;5;Pandora box;true;Juszezak, Alcante;Dupuis;2800137452;;;2014-04-22 05:06:20 UTC
L'envie;6;Pandora box;true;Henriet, Alcante;Dupuis;2800137460;;;2014-04-22 05:06:20 UTC
La colère;7;Pandora box;true;Damour, Alcante;Dupuis;2800137479;;;2014-04-22 05:06:20 UTC
L'espérance;8;Pandora box;true;Pagot, Alcante;Dupuis;2800137487;;;2014-04-22 05:06:20 UTC
Bâtarde;1;Rani;true;Van Hamme, Alcante, Valles;Lombard;2803625989;;;2014-04-22 05:06:20 UTC
Brigande;2;Rani;true;Van Hamme, Alcante, Valles;Lombard;2803627523;;;2014-04-22 05:06:20 UTC
Esclave;3;Rani;true;Van Hamme, Alcante, Valles;Lombard;2803629739;;;2014-04-22 05:06:20 UTC
On air;1;Reality show;true;Francis Porcel, J.D. Morvan;Dargaud;2871294992;;;2014-04-22 05:06:20 UTC
Direct live;2;Reality show;true;Francis Porcel, J.D. Morvan;Dargaud;B00DYRSIRS;;;2014-04-22 05:06:20 UTC
Final cut;3;Reality show;true;Francis Porcel, J.D. Morvan;Dargaud;B00DYSGYFU;;;2014-04-22 05:06:20 UTC
Reconquista channel;4;Reality show;true;Francis Porcel, J.D. Morvan;Dargaud;287129884X;;;2014-04-22 05:06:20 UTC
Total audimat;5;Reality show;true;Francis Porcel, J.D. Morvan;Dargaud;2505003548;;;2014-04-22 05:06:20 UTC
1;1;Re-mind;true;Mutti & Alcante;Dargaud;250501499X;2012-09-13 00:00:00 UTC;;2014-04-22 05:06:20 UTC
Uss nebraska;1;Sanctuaire;true;Xavier Dorison, Christophe Bee;Les humanoÎdes associés;2731614587;;;2014-04-22 05:06:20 UTC
Le puits des abîmes;2;Sanctuaire;true;Xavier Dorison, Christophe Bee;Les humanoÎdes associés;2731661445;;;2014-04-22 05:06:20 UTC
Môth;3;Sanctuaire;true;Xavier Dorison, Christophe Bee;Les humanoÎdes associés;2731663081;;;2014-04-22 05:06:20 UTC
Corruption;1;Section financière;true;Malka, Mutti;Vents d'ouest;2749302544;;;2014-04-22 05:06:20 UTC
Délit d'initié;2;Section financière;true;Malka, Mutti;Vents d'ouest;2749303494;;;2014-04-22 05:06:20 UTC
Neuro-terrorisme;3;Section financière;true;Malka, Mutti;Vents d'ouest;274930458X;;;2014-04-22 05:06:20 UTC
Paradis artificiels;4;Section financière;true;Malka, Mutti;Vents d'ouest;2749305497;;;2014-04-22 05:06:20 UTC
Morsure;1;Tatanka;true;Callède, Séjourné, Verney;Delcourt;2840558432;;;2014-04-22 05:06:20 UTC
Flash mortel;1;Thomas Silane;true;Buendia, Chanoinat, Lécossois;Grand angle;B003WW25MY;;http://ecx.images-amazon.com/images/I/51MKV22BT9L._.jpg;2014-04-22 05:06:20 UTC
Le tueur de noël;2;Thomas Silane;true;Buendia, Chanoinat, Lécossois;Grand angle;2915309582;;;2014-04-22 05:06:20 UTC
Tempêtes;3;Thomas Silane;true;Buendia, Chanoinat, Lécossois;Grand angle;2915309957;;;2014-04-22 05:06:20 UTC
Objectifs;4;Thomas Silane;true;Buendia, Chanoinat, Zaghi;Grand angle;2350783014;;;2014-04-22 05:06:20 UTC
La magicienne trahie;1;Thorgal;true;Rosinski, Van Hamme;Lombard;2803603586;;;2014-04-22 05:06:20 UTC
L'île des mers gelées;2;Thorgal;true;Rosinski, Van Hamme;Lombard;2803603594;;;2014-04-22 05:06:20 UTC
Les 3 vieillards du pays d'Aran;3;Thorgal;true;Rosinski, Van Hamme;Lombard;2803600013;;;2014-04-22 05:06:20 UTC
La galere noire;4;Thorgal;true;Rosinski, Van Hamme;Lombard;2803600269;;;2014-04-22 05:06:20 UTC
Au-dela des ombres;5;Thorgal;true;Rosinski, Van Hamme;Lombard;2803604078;;;2014-04-22 05:06:20 UTC
La chute de Brek Zarith;6;Thorgal;true;Rosinski, Van Hamme;Lombard;2803604515;;;2014-04-22 05:06:20 UTC
L'enfant des étoiles;7;Thorgal;true;Rosinski, Van Hamme;Lombard;2803604604;;;2014-04-22 05:06:20 UTC
Alinoë;8;Thorgal;true;Rosinski, Van Hamme;Lombard;847904487X;;;2014-04-22 05:06:20 UTC
Les archers;9;Thorgal;true;Rosinski, Van Hamme;Lombard;B003WTRP18;;https://images-na.ssl-images-amazon.com/images/I/51NX8sm7EdL._SX374_BO1,204,203,200_.jpg;2014-04-22 05:06:20 UTC
Le pays Qâ;10;Thorgal;true;Rosinski, Van Hamme;Lombard;280360549X;;;2014-04-22 05:06:20 UTC
Les yeux de Tanatloc;11;Thorgal;true;Rosinski, Van Hamme;Lombard;2803605767;;;2014-04-22 05:06:20 UTC
La cité du dieu perdu;12;Thorgal;true;Rosinski, Van Hamme;Lombard;2803606399;;;2014-04-22 05:06:20 UTC
La couronne d'OgotaÏ;21;Thorgal;true;Rosinski, Van Hamme;Lombard;2803611619;;;2014-04-22 05:06:20 UTC
Géants;22;Thorgal;true;Rosinski, Van Hamme;Lombard;2803612208;;;2014-04-22 05:06:20 UTC
Le mal bleu;25;Thorgal;true;Rosinski, Van Hamme;Lombard;2803614146;;;2014-04-22 05:06:20 UTC
Le royaume sous le sable;26;Thorgal;true;Rosinski, Van Hamme;Lombard;2803616653;;;2014-04-22 05:06:20 UTC
Le barbare;27;Thorgal;true;Rosinski, Van Hamme;Lombard;2803617757;;;2014-04-22 05:06:20 UTC
Kriss de Valnor;28;Thorgal;true;Rosinski, Van Hamme;Lombard;8498142296;2005-06-09 00:00:00 UTC;;2014-04-22 05:06:20 UTC
Le sacrifice;29;Thorgal;true;Rosinski, Van Hamme;Lombard;2803621983;;;2014-04-22 05:06:20 UTC
Moi, Jolan;30;Thorgal;true;Rosinski, Van Hamme;Lombard;2803622653;;;2014-04-22 05:06:20 UTC
Le bouclier de thor;31;Thorgal;true;Rosinski, Sente;Lombard;2803624869;;;2014-04-22 05:06:20 UTC
La bataille d'Asgard;32;Thorgal;true;Rosinski, Sente;Lombard;280362754X;;;2014-04-22 05:06:20 UTC
Le bateau-sabre;33;Thorgal;true;Rosinski, Sente;Lombard;280362995X;;;2014-04-22 05:06:20 UTC
Kah-Aniel;34;Thorgal;true;Rosinski, Sente;Lombard;2803632993;;;2014-04-22 05:06:20 UTC
Le berger des âmes;1;Tokyo ghost;true;Jarry, Djief;Soleil;2849464848;;;2014-04-22 05:06:20 UTC
Edo;2;Tokyo ghost;true;Jarry, Djief, Comtois;Soleil;2849466034;;;2014-04-22 05:06:20 UTC
La comtesse Volodine;1;Tony Corso;true;Berlion;Dargaud;2205055674;;;2014-04-22 05:06:20 UTC
Prime time;2;Tony Corso;true;Berlion;Dargaud;2205057316;;;2014-04-22 05:06:20 UTC
Igor, mon frère;1;Vlad;true;Swolfs, Griffo;Lombard;2803614995;;;2014-04-22 05:06:20 UTC
Le maître de Novijanka;2;Vlad;true;Swolfs, Griffo;Lombard;2803616297;;;2014-04-22 05:06:20 UTC
Zone rouge;3;Vlad;true;Swolfs, Griffo;Lombard;280361734X;;;2014-04-22 05:06:20 UTC
Dernière issue;4;Vlad;true;Swolfs, Griffo;Lombard;B00DYO5C9I;;;2014-04-22 05:06:20 UTC
Taïga;5;Vlad;true;Swolfs, Griffo;Lombard;2803618796;;;2014-04-22 05:06:20 UTC
Opération deluge;6;Vlad;true;Swolfs, Griffo;Lombard;2803619903;;;2014-04-22 05:06:20 UTC
15 novembre;7;Vlad;true;Swolfs, Griffo;Lombard;280362088X;2006-01-13 00:00:00 UTC;;2014-04-22 05:06:20 UTC
La mission;1;Wayne Shelton;true;Denayer, Van Hamme;Dargaud;281050623X;;;2014-04-22 05:06:20 UTC
La trahison;2;Wayne Shelton;true;Denayer, Van Hamme;Dargaud;2810506248;;;2014-04-22 05:06:20 UTC
Le contrat;3;Wayne Shelton;true;Denayer, Van Hamme;Dargaud;2871295174;;;2014-04-22 05:06:20 UTC
Le survivant;4;Wayne Shelton;true;Denayer, Cailleteau;Dargaud;2871296790;;;2014-04-22 05:06:20 UTC
La vengeance;5;Wayne Shelton;true;Denayer, Cailleteau;Dargaud;2505015112;;;2014-04-22 05:06:20 UTC
L'otage;6;Wayne Shelton;true;Denayer, Cailleteau;Dargaud;2505000190;;;2014-04-22 05:06:20 UTC
La lance de longinus;7;Wayne Shelton;true;Denayer, Cailleteau;Dargaud;2505003629;;;2014-04-22 05:06:20 UTC
La nuit des aigles;8;Wayne Shelton;true;Denayer, Cailleteau;Dargaud;2505006105;;;2014-04-22 05:06:20 UTC
Western;1;Western;true;Rosinski, Van Hamme;Lombard;2803624680;2008-11-28 00:00:00 UTC;;2014-04-22 05:06:20 UTC
Le jour du soleil noir;1;XIII;true;Vance, Van Hamme;Dargaud;2871290008;;;2014-04-22 05:06:21 UTC
La où va l'Indien;2;XIII;true;Vance, Van Hamme;Dargaud;2871290016;;;2014-04-22 05:06:21 UTC
Toutes les larmes de l'enfer;3;XIII;true;Vance, Van Hamme;Dargaud;2871290083;;;2014-04-22 05:06:21 UTC
Spads;4;XIII;true;Vance, Van Hamme;Dargaud;B004HBY7E8;;http://static.fnac-static.com/multimedia/images_produits/ZoomPE/0/3/2/9782871290230.jpg;2014-04-22 05:06:21 UTC
Rouge total;5;XIII;true;Vance, Van Hamme;Dargaud;287129044X;;;2014-04-22 05:06:21 UTC
Le dossier Jason Fly;6;XIII;true;Vance, Van Hamme;Dargaud;2871290598;;;2014-04-22 05:06:21 UTC
La nuit du 3 aôut;7;XIII;true;Vance, Van Hamme;Dargaud;2871290628;;;2014-04-22 05:06:21 UTC
Treize contre un;8;XIII;true;Vance, Van Hamme;Dargaud;2871290652;;;2014-04-22 05:06:21 UTC
